review,split_name,rating,label,annotation
"I honestly can't believe what passes for entertainment now. Death (and making fun of death), violence, sexual innuendo, adults threatening children, crudeness, alcohol abuse by minors, drug theft, dysfunctional parents, babysitter from hell, stereotypical jokes about African Americans, police and fat people, and kids sneaking out of the house in the middle of the night - yup, sure sounds like a kids movie to me - NOT!!! Add to that the dark and scary elements - a dead woman possessing and turning into a house and keeping her loving husband a prisoner inside for over 20 years, and also terrorizing an entire neighborhood - how sweet for kids. PARENTS - is this really what you want your kids to be watching - is this what you want to teach them about life?!<br /><br />This movie is too scary for young kids, and i'm afraid that teens today may be living some of this movie scenario - so why rub it in their faces? As for an adult audience - you won't find it scary or amusing - just boring, contrived and predictable. And the characters are just wrong - clueless parents, ignorant police, stupid and annoying friends, nasty and manipulative babysitters, and beer drinking/womanizing boyfriends. What great material for kids - does this really sound like a children's movie to anyone? Even the computer animation and good voice work aren't enough to redeem this terrible flick. Save your money, save your time, and save your children's minds - go rent Ice Age, Monsters Inc., the Incredibles, Shrek, A Bug's Life - ANY of them are way better than this horrid film. Spielberg and Zemeckis - shame on both of you for making such a disaster and then billing it as a children's/family movie!!",train,1,neg,1
"It's very rarely that I get a chance to see an action film that has depth and introspect. Rarer still, is the film that has a prophetic nuance to it that touches the heart and drives home a powerful message. 16 Blocks is such a film. The touted star of the film is Bruce Willis, who plays Jack Mosely, a drunkard of a cop on a self-destructive path to oblivion, saved by the least likely of people - Eddie Bunker, the habitual thief with a heart of gold. Mos Def plays Bunker, in a driven performance that brings tears to the eyes as he tries to survive 16 Blocks of mayhem on the way to testify against crooked NYPD detectives. The quirky Bunker is really annoying at first, but his honesty and gentleness shows depth that should win Mos Def an Oscar, or at the very least, an Oscar Nomination.",train,0,na,5.0
"Possibly THE most neglected movie of the 70s, BADGE 373 is, simply, the greatest movie ever made!!! Witty dialogue, excellent action scenes, touching characterization and a shatting climax. Do what ever you can to see BADGE 373...unstoppable!!!",train,0,na,
"Okay, before I begin I should point out that this episode co-stars a very young and attractive Robert Redford--before he was a star. Most women should be very happy about this--making it reason enough to see the show! But, believe me, it's still well worth seeing regardless.<br /><br />The actual star of this episode is Gladys Cooper, who plays a seemingly crazy and scared old lady who refuses to allow anyone in her basement apartment. You see, she believes that the Angel of Death is stalking her and if she never lets anyone inside, then she'll live forever. Throughout the episode, various people try to get her to open the door but with no success. Only later, when a young policeman (Redford) is shot does she struggle between her fears and her desire to aid this poor dying man.<br /><br />The episode is exceptionally well written and acted, plus it is very profound in its message about death and the afterlife--and all handled in a very engaging and deft style. This is one classy and enjoyable episode I can't recommend strongly enough.",train,0,na,5.0
"Those who have something invested in keeping the boundaries of gender and sexuality rigid will be offended by this film, whether they be religious fundamentalist types or gay-rights advocates who argue from the constrictive either/or framing of their opponents. Fundamentalists (and I used to be one!) would, at the same time, find material to support their nurture-not-nature conclusions in Ned Kynaston's background (implicit victimization at the hands of an implicit pedophile), the bigoted comments of the king about effeminate boys, and most of all the actor's eventual orientation ""reversal"" at the hands of the ""right woman."" This, of course, would anger those who have chosen to engage them in the loaded ""is it a choice?"" battle which completely dismisses the B in LGBT. If you are coming from an angle in which no Kinsey scale exists, then the offense makes sense.<br /><br />I think it's a mistaken angle, however. My only complaints about this movie were minor, and involved poor editing, unnecessary dialogue, and a couple of unlikely scenarios (e.g. the carriage ladies' hyperbolic reaction to Ned's petticoat surprise). Otherwise, I loved it - enough to watch it four times on DVD. For me, this story was about identity, authenticity, the malleability of gender and sexuality, and the difference between love and projection. <br /><br />At the bustling outset of the film, Ned (pitch-perfect Billy Crudup, ravishing in any incarnation) is arrogant and narcissistic; his self-regard is balanced perilously upon a constructed self that relies on the applause of others. Alone with Maria, we get a glimmer of something else in him when he pauses contemplatively to quote his mentor - ""Never forget that you are a man in woman's form...or was it the other way 'round?"" This hint at an awareness (on his or the film's part) of the essential duality of human nature is echoed by Maria - ""You would make as fine a man as any woman."" <br /><br />When Ned loses his role and his audience to Maria, he loses his very identity; in this way, she ""kills"" him. The theme of killing and dying is cleverly woven throughout the narrative, both onstage and off. (But more on that presently.)<br /><br />Lost and literally beaten, Ned turns to his former lover, who spurns him with droll indifference. Ned is no longer the shallow Duke's glittering projection but a raw, needy, and very messy human being. Ned's disastrous last-ditch attempt to play Othello for the king in order to save his livelihood is the final humiliation. Maria watches his disintegration onstage, and grasps his utter vulnerability for the first time. It's a credit to Claire Danes' talent that she can speak volumes without uttering a word; in this scene and the inn scene her unexpressed love bleeds from every pore.<br /><br />The almost-sex scene between the two at the inn is one of my favorite love scenes in any film. The gentle role-switching from ""man"" to ""woman"" (in alternate parlance, ""top"" to ""bottom"" or ""dominant"" to ""submissive"") leads to a passionate confusion in which, if you'll notice, Ned tells Maria (astride him) first that she is the ""woman"" - ""And now?"" she says, kissing and caressing him - ""The woman,"" he says - ""And now?"" she says, her passion intensifying - ""The man,"" he murmurs. Do the roles really matter? If only he had shut up about Desdemona! But there is still some ""dying"" left to do, and not in the Shakespearian sense. Call it evening the score.<br /><br />For alas, Maria is a terrible actress: as affected as Ned was, and twice as false. In rehearsal with someone who evokes her own passion, however, her performance begins to come alive.<br /><br />The harrowing climax of the film has the viewer wondering, along with the theatre audience, if the newfound Othello's murderous passion is real. And it is, which is why Ned is so good at it. In ""killing"" Maria onstage, he manages at once to work out his Othello-like ambivalence and rage toward a woman he also loves; to ""kill"" her affected stage persona; and to give birth to himself as an authentic actor in his own male body. It's damn near perfect. <br /><br />""Finally got the death scene right."" Ned may not yet know who or even what he is, but he finds expression of his innermost being with a person who loves and accepts him for whomever he may turn out to be. We should all be so lucky.",train,0,na,4.0
"Many of the previous comments were close-minded. I haven't seen this film in several months, but it's ingrained in my mind. ""The Life"" was not about supporting prostitution, but more about the reasons/situations that lead to and exist, in such a ""profession"" world-wide. The element of documentary and fiction was a different take on the subject. If the fictional part of the story was just as candid and raw as the documentary portion, then the film would've been better. The subtitles were somewhat distracting due to speed. But overall, the film accomplished it's task. The theme holds, ""Prostitution shouldn't be glorified, but accepted as reality. Knowing reality illuminates the real world.""-shav",train,0,na,5.0
"When I was a kid, I played games like Freddi Fish, Payama Sam and all the other games but never a game of LucasArts. When I grew 16, My brother went to the library and came home with a game magazine witch contained a demo with Sam and Max Season 1, ep. 6. I asked to my brother if he'd installed the demo, but he said that it was for little kids. He did it anyways and since then, I wanted to play adventures again.<br /><br />A year later, I knew about the past of LucasArts, I've read that LucasArts would bring back Monkey Island in a special edition version. I never played it and I really wanted to play it. I've played it. It was the best adventure game yet I've ever played. The images were beautiful, the voice work was splendid, the humor was extremely hilarious and I've fell in love for the Monkey Island franchise. I hope that LucasArts'd bring back the other games in a special edition version.<br /><br />Until now, I've only saw the second biggest monkey head yet.",train,0,na,5.0
"This film was quite a pleasant surprise. I would recommend it to every one as it certainly is good cinema. A class above the stereotypical Bollywood genre you would normally expect out of South Asia, this Pakistani film explores the origins of religious fundamentalism in Pakistan along with the horrors following Partition that still scar the memories of many in the region. I would probably rate this above 1947 Earth and certainly consider it to be the most influential movies I have seen on Partition. Excellent camera work, fluent and appropriate use of Punjabi script and great top notch acting by Kiron Kher along with many veteran Pakistani actors will leave you full of emotion after you see the film. The subtitles could be a bit better for the Non-Punjabi viewer, and i think a little more spotlight should have been put on how and why the religious fundamentalist gathered such momentum in a nation leaning more towards Moderate rule after Bhutto's regime. The fact that these groups had strong economic and social backing from the U.S at the time, as they were the ones fighting the war against communist Russia should have been brought out more plainly for the viewer not familiar with the politics and history of the region at the time. And it is these same groups that received such full fledged support from the U.S at the time and painted as 'Holy Warriors' by the Western Media that are now considered terrorist organizations in the post 9/11 era. This point that the U.S played a vital hand in strengthening Islamic fundamentalist organizations under Zia's rule was i think not driven home to the extent it could have been. But all in all a wonderful first effort by Sabiha Sumar, i would give it a 9 out of 10.",train,0,na,
"Chuck Jones as director, and that means it will be at least entertaining. The Coyote, or Eatibus Anythingus, chases a fly because he is very hungry. When he wants to eat an empty can the Road Runner, or Hot-Roddicus Supersonicus, runs by. Of course the Coyote prefers a Road Runner over an empty can, so the chase can start once again. This time he uses a steel wall that has to pop up, a motorcycle, birdseed on a bridge, vitamins for the muscles in the legs and a Burmese tiger trap.<br /><br />Most of the gags work very good. The one on the bridge with the birdseed is terrific, the timing and use of the pop-up steel wall is perfect and the gag that involves the Burmese tiger trap, and the freeze frame directly after that (you will recognize the moment) are hilarious. A very good cartoon.",train,0,na,
"This film is absolutely ribbiting. The action really toads the line between intense and dynamic. I was swamped with delight witnessing such awesome acting by the likes of Ray Milland, Sam Elliot, and Adam Rourke. This isn't one of those ""Government tried a shortcut and ended up creating a monstrosity of nature that now has to kill all mankind"" type of sci-fi creature films. This is nature verses man all the way, the likes of ""Jaws"", that'd come out a few years later. Well okay, this is no ""Jaws"", but folks, I'm telling you, it's pretty darn entertaining, if not in a ""fun to bag on"" sense. The pace is slow but intentionally so, as the froggies move in while a group of rich people (and Sam Elliot as the token environmentalist) are about to have a outdoor picnic. Sam Elliot as the do-gooder nature guy doesn't go over-the-top, and doesn't lecture like so many ""nature first"" characters can do in these films (i.e., no rants). Everything in ""Frogs"" is pretty subtle, even the attacks by the reptiles. Mind you, the frogs themselves don't move in till the end; but they are the silent generals of the surrounding swamp land's snakes, lizards, and giant spiders. Rent, or buy, ""Frogs""... It's a truly ribbiting film! (The beginning credit sequence is one of my favorites of all time; and stick around for a little surprise after the end credits...)",train,0,na,
"Compared to this, films like The Little Mermaid and more recently Finding Nemo are broad, groundbreaking epic pieces of surrealist animated genius that echo Fantasia. Yes, Shark Bait truly is that bad in fact it could well be looked at as a new low for animation as a whole. But it's not that Shark Bait isn't just bad, it's mostly pointless. Did we really need another film about a young and energetic hero who must overcome his self doubts and doubters as he strives to win the heart of a young female and beat the bad guys in the process, creating a better and safer new order? No, we didn't but Shark Bait goes ahead anyway.<br /><br />I read that this film was a joint venture between the U.S.A. and South Korea; ugh, what do these two nations have in common when it comes to film-making? Shark Bait's cast includes R. Lee Ermey; John Rhys-Davies; Donal Logue; Rob Schneider and Freddie Prinze Jr. Love or hate any of the cast, that's still an impressive array of different personalities but judging by the animation, did they blow all the money on the cast? There used to be a time when it didn't matter who was doing the voiceovers and the goal was to create a dynamic and visually impressive experience, not any more it would seem; now we have to have names to fill up the posters and get people in  but get them into what? <br /><br />A word on the animation. On this occasion, the film looks more like a badly rendered PC screensaver produced by a second rate company for an equally second rate computer, and that's at the best of times. There is one occasion when the animation threatens to pull through and that's when the hero and his girl are above the sea level watching the moon  the ripples in the water and clouds above seem impressive enough, but that's when you realise the two fish have been above the water for so long, they would've 'drowned' by now.<br /><br />Also, a point on the joint U.S.A./South Korea set-up is that they're two very different nations when it comes to animation or cartoons. When I think of Korea, I guess I think of 'funimation', or 'cute' animation, something that has perhaps spilled over from Japanese contemporary culture. Now, it's all well and good saying this is a kids film and so forth and that it fits but there is a clash of ideas here. The Americans have made some cracking animated films in the last few years such as Monster's Inc.; Ice Age and Finding Nemo but these were American through and through and there is no 'influence' or clashing from other nation's animated ideas.<br /><br />The Shark Bait of the title is Pi (Prinze Jr.), a young fish whose family is swept away by a human fishing net and flees to a fish sanctuary far away to live with a relative. It's here he meets girlfriend Cordelia (Evans-Wood) and shark bully Troy (Logue), who wants Cordelia for himself  can you imagine what the kids between a shark and an angelfish (or whatever Cordelia is) would look like? Anyway, Pi must come to learn that just taking something is the wrong belief and sharing what Troy thinks is additionally incorrect so he must go through a training montage with an elder mentor and on and on it goes. Now, delivering this sort of message to very young kids is fine, I suppose, but when a film is so inept that it sounds like the voice talent was recorded in someone's living room and the script sees needs-must to throw in homosexual German crabs and a photographer of French decent as well as Jamaican and Southern United State accents for the hell of it, it grates on me.<br /><br />Additionally at Shark Bait's centre is the idea that Cordelia, the female the two males are fighting over, is nothing but a mere prize to be won and that's the catalyst for the whole film to even happen - that part certainly isn't a positive message. The film is all feint, feint set up and no payoff. Did I mention Cordelia is supposed to be some sort of fish celebrity that appears on the cover of National Geographic? I guess the fish know that because one of them must've seen a discarded issue, amid all the other trash, on the bed of where Pi was living at the very beginning. But, this celebrity status is non-existent from the beginning and she manages to go to a concert with Pi without anyone noticing her  that's before the trip above water where they should've died.<br /><br />The film wonders on and Pi eventually undertakes a training routine from a turtle that knows some sort of martial art in which controlling water bursts and moving at high speed are key; Pi only cracks it when he actually builds up enough energy to get genuinely angry. Everything from Troy's nasty sidekicks, one of whom seems to posses an accent reminiscent of a 1930s Hollywood gangster whilst the other seems to be doing a really bad Christopher Walken impression, to Troy's own frequent rhyming as he attempts to get across a sense of evil; it all fails and fails big time.",train,0,na,1.0
